Story	Episode	Branch	TasksOrder	SetenceIdx	Connect	Storage	Name	Text	EtcTask_Name	EtcTask_Value_Value1	EtcTask_Value_Value2	EtcTask_Value_Value3	EtcTask_Value_Value4	EtcTask_Value_Value5	EtcTask_Value_Value6	EtcTask_Value_Value7	EtcTask_Value_Value8	BgTask_Name	BgTask_Value_Value1	BgTask_Value_Value2	BgTask_Value_Value3	BgTask_Value_Value4	BgTask_Value_Value5	BgTask_Value_Value6	BgTask_Value_Value7	BgTask_Value_Value8	Ch1Task_Name	Ch1Task_Value_Value1	Ch1Task_Value_Value2	Ch1Task_Value_Value3	Ch1Task_Value_Value4	Ch1Task_Value_Value5	Ch1Task_Value_Value6	Ch1Task_Value_Value7	Ch1Task_Value_Value8	Ch2Task_Name	Ch2Task_Value_Value1	Ch2Task_Value_Value2	Ch2Task_Value_Value3	Ch2Task_Value_Value4	Ch2Task_Value_Value5	Ch2Task_Value_Value6	Ch2Task_Value_Value7	Ch2Task_Value_Value8	Ch3Task_Name	Ch3Task_Value_Value1	Ch3Task_Value_Value2	Ch3Task_Value_Value3	Ch3Task_Value_Value4	Ch3Task_Value_Value5	Ch3Task_Value_Value6	Ch3Task_Value_Value7	Ch3Task_Value_Value8	Ch4Task_Name	Ch4Task_Value_Value1	Ch4Task_Value_Value2	Ch4Task_Value_Value3	Ch4Task_Value_Value4	Ch4Task_Value_Value5	Ch4Task_Value_Value6	Ch4Task_Value_Value7	Ch4Task_Value_Value8	Ch1Info_ImageCode	Ch1Info_Pos	Ch1Info_Scale	Ch1Info_Opacity	Ch2Info_ImageCode	Ch2Info_Pos	Ch2Info_Scale	Ch2Info_Opacity	Ch3Info_ImageCode	Ch3Info_Pos	Ch3Info_Scale	Ch3Info_Opacity	Ch4Info_ImageCode	Ch4Info_Pos	Ch4Info_Scale	Ch4Info_Opacity	BgInfo_BgImage	BgInfo_Opacity	Choice
Com	0	0	BG	0	P_1													ImageChange	BG_Black																																																												BG_Black	0	
			BG	1	C_2													FadeIn	1																																																												BG_Black	1	
			Etc	2	C_3				Wait	1																																																																						1	
			Etc	3	C_4				ShowUI	0.3																																																																						1	
			Etc	4	C_5				Wait	1																																																																						1	
			Text	5			유니티	...안녕하세요.																																																																								1	
Com	0	0	Text	0	C_1		???	안녕하세요, 유니티님. 이쪽에 앉으시면 됩니다.​																																																																							BG_Black	1	
			Etc	1	C_2				Wait	2																																																																						1	
			Etc	2	C_3				SFX																																																																							1	
			Etc	3					SFX																																																																							1	
Com	0	0	BG	0	P_1													CrossFade	1	ep1_doc4	1																																																										BG_Black	1	
			Etc	1					SFX																																																																							1	
Com	0	0	Text	0	C_1		???	저희 병원에 처음 내원해주셨네요. 오늘 무슨 일 때문에 오셨을까요?​																																																																							ep1_doc4	1	
			Ch1	1																							ChSpawn	0.5	0,0																																		0-0-@None-@None-0_0_e_2_normal-0_0_m_0_happy-0_0_fx_1_flush/@None/@None/@None																		
Com	0	0	Text	0			유니티	.......																																																																							ep1_doc4	1	
Com	0	0	Text	0			유니티	...사실​																																																																							ep1_doc4	1	
Com	0	0	Text	0			유니티	.......																																																																							ep1_doc4	1	
Com	0	0	Text	0			유니티	사실은 제가…																																																																							ep1_doc4	1	
Com	0	0	Text	0	C_1		유니티	....…​																																																																							ep1_doc4	1	
			Etc	1					Wait	1																																																																						1	
Com	0	0	Text	0			유니티	죄송합니다. 제가 이런 일에 익숙하지 않아서 말이 잘 안 나오네요.​																																																																							ep1_doc4	1	
Com	0	0	BG	0			???	부담 갖지 마세요. 천천히 얘기해주셔도 됩니다.​										CrossFade	1	ep1_doc1	1																																																										ep1_doc1	1	
Com	0	0	Text	0			???	누구나 말하기 힘든 고민 한 둘은 가지고 있으니까요.​																																																																							ep1_doc1	1	
Com	0	0	Text	0			유니티	…선생님.​																																																																							ep1_doc1	1	
Com	0	0	Text	0			유니티	정말 말도 안되는 이야기같아서요...																																																																							ep1_doc1	1	
Com	0	0	Text	0			유니티	제가 이상해진 건 아니겠죠?​																																																																							ep1_doc1	1	
Com	0	0	Text	0			유니티	아니 분명 방학까지는 괜찮았는데 개강하자마자 갑자기...																																																																							ep1_doc1	1	
Com	0	0	Text	0			???	잠시 진정하시고요. 천천히 무슨 일이 있었는지 알려주시겠어요?																																																																							ep1_doc1	1	
Com	0	0	Text	0	C_1		유니티	...며칠 전 …​아니, 개강했을 그 순간부터 였을 거에요...																																																																							ep1_doc1	1	
			BG	1														CrossFade	1	BG_Black	1																																																										ep1_doc1	1	
Com	0	0	Text	0			유니티	zzz...​																																																																							BG_Black	1	
Com	0	0	Text	0			???	...니티...!​																																																																							BG_Black	1	
Com	0	0	Text	0			???	유니티 학생?																																																																							BG_Black	1	
Com	0	0	Text	0	C_1			…?!​																																																																							BG_Black	1	
			BG	1														CrossFade	1	BG_lectureRoom	1																																																										BG_Black	1	
Com	0	0	Text	0			유니티	네… 넵! 여기 있습니다!																																																																							BG_lectureRoom	1	
Com	0	0	Text	0				헐레벌떡 나는 입가의 침을 닦으며 외쳤다.​																																																																							BG_lectureRoom	1	
Com	0	0	Text	0	P_1		표 교수님	그러면 지금 이 상황에서 진행하는 packet switching는 어떤 유형인가요?​																																																																							BG_lectureRoom	1	
			Etc	1	C_2				StorageSpawn	Professor_normal	1	0,0	0																																																																			1	
			Etc	2		0			ObjLock																																																																							1	
Com	0	0	Text	0			유니티	그…그건...​																																																																							BG_lectureRoom	1	
Com	0	0	Text	0			유니티	비, 비 연결형 패킷 스위칭입니다.​																																																																							BG_lectureRoom	1	
Com	0	0	Text	0	C_1		표 교수님	훌륭합니다! GREAT! 브라보~~!​																																																																							BG_lectureRoom	1	
			Etc	1	C_2	0			CrossFade	1	Professor_03	1																																																																				1	
			Etc	2		0			ObjLock																																																																							1	
Com	0	0	Text	0				휴. 다행히 아는 내용이다.​																																																																							BG_lectureRoom	1	
